DxNo,FxNo,DxSto1,FxSto1,DxSto2,FxSto2,DxSto3,FxSto3
0.715345,425,0.732949,432,0.753376,446,0.753376,446
0.715352,425,0.732955,432,0.753381,446,0.753381,446
0.715358,425,0.732962,432,0.753387,445,0.753387,445
0.715365,426,0.732968,432,0.753393,445,0.753393,445
0.715371,426,0.732975,432,0.753399,445,0.753399,445
0.715378,426,0.732982,432,0.753405,445,0.753405,445
0.715385,426,0.732988,432,0.753411,444,0.753411,444
0.715391,426,0.732995,432,0.753416,444,0.753416,444
0.715398,426,0.733001,433,0.753422,444,0.753422,444
0.715404,426,0.733008,433,0.753428,443,0.753428,443
0.715411,426,0.733014,433,0.753434,443,0.753434,443
0.715418,426,0.733021,433,0.75344,442,0.75344,442
0.715424,426,0.733027,433,0.753445,442,0.753445,442
0.715431,426,0.733034,433,0.753451,442,0.753451,442
0.715438,426,0.733041,432,0.753457,443,0.753457,443
0.715444,426,0.733047,432,0.753463,443,0.753463,443
0.715451,426,0.733054,432,0.753469,443,0.753469,443
0.715457,425,0.73306,432,0.753475,444,0.753475,444
0.715464,425,0.733067,432,0.75348,445,0.75348,445
0.715471,425,0.733073,432,0.753486,445,0.753486,445
0.715477,425,0.73308,433,0.753492,445,0.753492,445
0.715484,425,0.733086,433,0.753498,446,0.753498,446
0.715491,425,0.733093,433,0.753504,446,0.753504,446
0.715497,425,0.733099,433,0.75351,446,0.75351,446
0.715504,425,0.733106,434,0.753515,446,0.753515,446
0.71551,426,0.733113,434,0.753521,446,0.753521,446
0.715517,426,0.733119,434,0.753527,446,0.753527,446
0.715524,426,0.733126,435,0.753533,447,0.753533,447
0.71553,426,0.733132,435,0.753539,447,0.753539,447
0.715537,426,0.733139,435,0.753545,447,0.753545,447
0.715543,426,0.733145,436,0.75355,447,0.75355,447
0.71555,426,0.733152,436,0.753556,447,0.753556,447
0.715557,425,0.733158,436,0.753562,447,0.753562,447
0.715563,425,0.733165,436,0.753568,447,0.753568,447
0.71557,425,0.733172,436,0.753574,447,0.753574,447
0.715577,425,0.733178,437,0.753579,446,0.753579,446
0.715583,425,0.733185,437,0.753585,446,0.753585,446
0.71559,425,0.733191,437,0.753591,446,0.753591,446
0.715596,425,0.733198,437,0.753597,446,0.753597,446
0.715603,426,0.733204,437,0.753603,445,0.753603,445
0.71561,426,0.733211,437,0.753609,445,0.753609,445
0.715616,426,0.733217,437,0.753614,445,0.753614,445
0.715623,427,0.733224,437,0.75362,445,0.75362,445
0.71563,427,0.733231,437,0.753626,445,0.753626,445
0.715636,427,0.733237,437,0.753632,445,0.753632,445
0.715643,427,0.733244,437,0.753638,445,0.753638,445
0.715649,427,0.73325,437,0.753644,445,0.753644,445
0.715656,427,0.733257,437,0.753649,445,0.753649,445
0.715663,427,0.733263,437,0.753655,445,0.753655,445
0.715669,427,0.73327,437,0.753661,445,0.753661,445
0.715676,427,0.733276,438,0.753667,445,0.753667,445
0.715683,427,0.733283,438,0.753673,445,0.753673,445
0.715689,426,0.73329,438,0.753679,446,0.753679,446
0.715696,426,0.733296,438,0.753684,446,0.753684,446
0.715702,426,0.733303,439,0.75369,446,0.75369,446
0.715709,426,0.733309,439,0.753696,446,0.753696,446
0.715716,426,0.733316,439,0.753702,446,0.753702,446
0.715722,426,0.733322,439,0.753708,445,0.753708,445
0.715729,426,0.733329,439,0.753713,445,0.753713,445
0.715735,426,0.733335,439,0.753719,445,0.753719,445
0.715742,426,0.733342,439,0.753725,445,0.753725,445
0.715749,426,0.733349,439,0.753731,445,0.753731,445
0.715755,426,0.733355,438,0.753737,446,0.753737,446
0.715762,426,0.733362,438,0.753743,446,0.753743,446
0.715769,426,0.733368,438,0.753748,447,0.753748,447
0.715775,427,0.733375,438,0.753754,447,0.753754,447
0.715782,427,0.733381,438,0.75376,447,0.75376,447
0.715788,427,0.733388,437,0.753766,448,0.753766,448
0.715795,427,0.733394,437,0.753772,448,0.753772,448
0.715802,427,0.733401,437,0.753778,448,0.753778,448
0.715808,427,0.733407,436,0.753783,448,0.753783,448
0.715815,427,0.733414,436,0.753789,448,0.753789,448
0.715822,427,0.733421,436,0.753795,448,0.753795,448
