DxNo,FxNo,DxSto1,FxSto1,DxSto2,FxSto2,DxSto3,FxSto3
0.780684,530,0.780684,532,0.780684,533,0.780684,533
0.780699,530,0.780699,532,0.780699,533,0.780699,533
0.780715,530,0.780715,532,0.780715,533,0.780715,533
0.78073,530,0.78073,532,0.78073,533,0.78073,533
0.780745,530,0.780745,532,0.780745,533,0.780745,533
0.780761,530,0.780761,532,0.780761,533,0.780761,533
0.780776,530,0.780776,532,0.780776,532,0.780776,532
0.780791,531,0.780791,532,0.780791,532,0.780791,532
0.780807,531,0.780807,532,0.780807,532,0.780807,532
0.780822,531,0.780822,532,0.780822,532,0.780822,532
0.780837,531,0.780837,532,0.780837,532,0.780837,532
0.780853,531,0.780853,532,0.780853,532,0.780853,532
0.780868,531,0.780868,532,0.780868,531,0.780868,531
0.780884,531,0.780884,531,0.780884,531,0.780884,531
0.780899,531,0.780899,531,0.780899,531,0.780899,531
0.780914,531,0.780914,531,0.780914,531,0.780914,531
0.78093,531,0.78093,531,0.78093,531,0.78093,531
0.780945,531,0.780945,531,0.780945,530,0.780945,530
0.78096,531,0.78096,530,0.78096,530,0.78096,530
0.780976,531,0.780976,530,0.780976,530,0.780976,530
0.780991,531,0.780991,530,0.780991,530,0.780991,530
0.781006,532,0.781006,530,0.781006,530,0.781006,530
0.781022,532,0.781022,530,0.781022,529,0.781022,529
0.781037,532,0.781037,530,0.781037,529,0.781037,529
0.781053,532,0.781053,530,0.781053,529,0.781053,529
0.781068,532,0.781068,529,0.781068,529,0.781068,529
0.781083,532,0.781083,529,0.781083,529,0.781083,529
0.781099,532,0.781099,529,0.781099,529,0.781099,529
0.781114,532,0.781114,529,0.781114,529,0.781114,529
0.781129,532,0.781129,529,0.781129,529,0.781129,529
0.781145,532,0.781145,529,0.781145,529,0.781145,529
0.78116,532,0.78116,529,0.78116,529,0.78116,529
0.781175,532,0.781175,529,0.781175,529,0.781175,529
0.781191,532,0.781191,529,0.781191,529,0.781191,529
0.781206,532,0.781206,529,0.781206,529,0.781206,529
0.781222,532,0.781222,529,0.781222,529,0.781222,529
0.781237,532,0.781237,529,0.781237,529,0.781237,529
0.781252,532,0.781252,529,0.781252,529,0.781252,529
0.781268,532,0.781268,529,0.781268,529,0.781268,529
0.781283,532,0.781283,529,0.781283,529,0.781283,529
0.781298,532,0.781298,529,0.781298,529,0.781298,529
0.781314,532,0.781314,529,0.781314,529,0.781314,529
0.781329,532,0.781329,529,0.781329,529,0.781329,529
